iter	Passed	Remaining
0	173	173760
1	178	88980
2	183	60944
3	187	46702
4	191	38097
5	196	32498
6	203	28849
7	210	26077
8	216	23834
9	221	21935
10	228	20537
11	233	19212
12	238	18124
13	242	17058
14	245	16151
15	249	15369
16	253	14672
17	257	14037
18	260	13459
19	264	12946
20	267	12475
21	270	12043
22	275	11686
23	278	11323
24	282	11001
25	285	10698
26	288	10406
27	292	10139
28	295	9896
29	298	9655
30	301	9431
31	304	9215
32	307	9020
33	311	8839
34	314	8684
35	318	8518
36	321	8361
37	324	8214
38	327	8072
39	330	7938
40	334	7824
41	337	7699
42	340	7579
43	343	7465
44	346	7356
45	350	7266
46	357	7239
47	363	7207
48	369	7163
49	374	7113
50	378	7046
51	382	6973
52	385	6890
53	388	6805
54	391	6733
55	395	6659
56	398	6587
57	401	6517
58	404	6447
59	407	6381
60	410	6318
61	415	6286
62	418	6226
63	421	6168
64	424	6111
65	427	6054
66	431	6006
67	434	5953
68	437	5901
69	440	5849
70	445	5829
71	450	5803
72	453	5763
73	456	5717
74	460	5682
75	464	5643
76	467	5601
77	471	5567
78	474	5526
79	477	5492
80	481	5458
81	484	5425
82	487	5389
83	491	5362
84	494	5327
85	498	5294
86	501	5259
87	504	5227
88	507	5196
89	512	5180
90	515	5149
91	518	5116
92	521	5089
93	526	5070
94	529	5041
95	533	5023
96	536	4995
97	541	4981
98	546	4972
99	550	4952
100	553	4930
101	557	4905
102	560	4885
103	564	4861
104	568	4843
105	573	4834
106	578	4826
107	582	4809
108	585	4787
109	590	4777
110	594	4757
111	597	4735
112	601	4723
113	604	4701
114	608	4685
115	611	4663
116	615	4644
117	618	4622
118	622	4605
119	625	4587
120	630	4576
121	633	4560
122	637	4542
123	640	4522
124	643	4504
125	647	4488
126	650	4473
127	653	4454
128	657	4438
129	660	4420
130	664	4405
131	667	4391
132	671	4378
133	674	4361
134	678	4347
135	681	4329
136	685	4316
137	688	4301
138	692	4289
139	695	4271
140	699	4258
141	702	4243
142	710	4256
143	714	4245
144	718	4234
145	722	4224
146	726	4215
147	729	4201
148	733	4189
149	736	4173
150	739	4159
151	742	4143
152	746	4133
153	749	4119
154	753	4109
155	756	4094
156	760	4081
157	763	4070
158	767	4059
159	770	4046
160	775	4039
161	778	4027
162	781	4014
163	785	4005
164	789	3994
165	792	3983
166	796	3973
167	800	3962
168	803	3952
169	807	3941
170	810	3930
171	814	3919
172	817	3908
173	821	3899
174	825	3889
175	828	3880
176	832	3869
177	835	3859
178	838	3847
179	842	3840
180	846	3831
181	851	3824
182	854	3813
183	857	3804
184	861	3797
185	865	3788
186	869	3778
187	872	3768
188	876	3762
189	880	3754
190	885	3750
191	890	3746
192	894	3740
193	899	3735
194	904	3732
195	906	3720
196	910	3712
197	913	3702
198	917	3692
199	920	3683
200	924	3675
201	928	3667
202	931	3657
203	934	3647
204	937	3636
205	941	3629
206	944	3620
207	947	3609
208	950	3599
209	954	3589
210	958	3585
211	962	3576
212	965	3567
213	968	3556
214	971	3548
215	976	3542
216	980	3537
217	983	3528
218	986	3518
219	989	3509
220	993	3500
221	996	3492
222	1000	3486
223	1003	3477
224	1007	3470
225	1010	3461
226	1013	3452
227	1016	3442
228	1020	3436
229	1023	3427
230	1027	3419
231	1030	3411
232	1034	3405
233	1038	3399
234	1042	3392
235	1044	3382
236	1048	3375
237	1052	3369
238	1057	3368
239	1062	3363
240	1065	3355
241	1069	3348
242	1072	3340
243	1076	3334
244	1079	3328
245	1084	3323
246	1088	3317
247	1094	3318
248	1099	3314
249	1103	3311
250	1108	3307
251	1111	3299
252	1115	3292
253	1118	3286
254	1122	3278
255	1125	3271
256	1128	3262
257	1131	3255
258	1135	3247
259	1139	3242
260	1142	3235
261	1145	3227
262	1148	3218
263	1151	3211
264	1156	3206
265	1159	3200
266	1162	3191
267	1165	3184
268	1169	3177
269	1172	3170
270	1176	3164
271	1179	3157
272	1183	3150
273	1186	3143
274	1191	3140
275	1194	3133
276	1198	3128
277	1202	3122
278	1206	3118
279	1216	3127
280	1221	3124
281	1224	3118
282	1228	3112
283	1232	3106
284	1236	3102
285	1239	3094
286	1242	3087
287	1245	3079
288	1248	3071
289	1254	3071
290	1261	3073
291	1264	3066
292	1268	3060
293	1271	3053
294	1274	3046
295	1277	3039
296	1281	3032
297	1284	3026
298	1287	3018
299	1291	3012
300	1294	3006
301	1297	2999
302	1301	2993
303	1304	2985
304	1306	2978
305	1310	2971
306	1314	2967
307	1318	2962
308	1321	2955
309	1324	2948
310	1328	2943
311	1332	2937
312	1335	2930
313	1338	2923
314	1341	2916
315	1344	2911
316	1348	2905
317	1351	2899
318	1355	2892
319	1358	2886
320	1361	2879
